1,"Super8",2011
2,"The Age of Adaline",2015
3,"Paul",2011
4,"The Late Bloomer",2016
5,"The Lucky One",2012
6,"iBoy",2017
7,"Warm Bodies",2013
8,"Mute",2018
9,"The Babysitter",2017
10,"Hot Bot",2016
11,"The Princess Switch",2018
12,"The Holiday Calendar",2018
13,"The Christmas Chronicles",2018
14,"Christmas Inheritance",2017
15,"A Wish for Christmas",2016
16,"The Spirit of Christmas",2015
17,"Brain on Fire",2016
18,"Bird Box",2018
19,"How Sarah Got Her Wings",2015
20,"F.R.E.D.I",2018
21,"a Witches' Ball",2017
22,"Vampire Academy",2014
23,"To the Bone",2017
24,"IO",2019
25,"Polar",2019
26,"Isn't It Romantic",2019
27,"Walk. Ride. Rodeo.",2019
28,"Chips",2017
29,"Before I Fall",2017
30,"Friends with Benefits",2011
31,"The House Bunny",2008
32,"Walk of Shame",2014
33,"Unicorn Store",2019
34,"The Silence",2019
35,"Naked",2017
36,"When We First Met",2018
37,"Mr. Right",2015
38,"The Perfect Date",2019
39,"Baby Driver",2017
40,"Every Day",2018
41,"The Greatest Showman",2017
42,"A Star Is Born",2018
43,"Someone Great",2019
44,"The Package",2018
45,"The Incredible Jessica James",2017
46,"The Fundamentals Of Caring",2016
47,"Lady-Like",2018
48,"Spiderman Home coming",2017
49,"The Amazing Spiderman",2012
50,"Night School",2018
51,"Kick-Ass",2010
52,"Nick and Norah's infinite playlist",2008
53,"Up In The Air",2009
54,"Pride and Prejudice and Zombies",2016
55,"Naomi and Ely's No Kiss List",2015
56,"Josie",2018
57,"aboutTime",2013
58,"Now Is Good",2012
59,"Dumplin'",2018
60,"The Last Summer",2019
61,"Rough Night",2017
62,"The Roommate",2011
63,"Gone Girl",2014
64,"Identity Thief",2013
65,"Good Sam",2019
66,"Beauty and the Beast",2017
67,"Shazam!",2019
68,"Malibu Rescue",2019
69,"Zombieland",2009
70,"World War Z",2013
71,"Rim Of The World",2019
72,"Oh, Ramona!",2019
73,"The Perfection",2018
74,"What to Expect When You're Expecting",2012
75,"Pitch Perfect 3",2017
76,"Always Be My Maybe",2019
77,"See You Yesterday",2019
78,"Fifty Shades of Black",2016
79,"Mary Poppins Returns",2018
80,"I Am Mother",2019
81,"The Girl with All the Gifts",2016
82,"Annabelle: Creation",2017
83,"Day of the Dead: bloodline",2018
84,"30 Minutes or Less",2011
85,"The Longest Ride",2015
86,"Murder Mystery",2019
87,"Undercover Grandpa",2016
88,"Bruno & Boots: This Can't Be Happening At Macdonald Hall",2017
89,"Pray for Rain",2017
90,"American Ultra",2015
91,"Bruno & Boots: Go Jump in the Pool",2016
92,"Handsome: A Netflix Mystery Movie",2017
93,"The Clapper",2017
94,"Cop Out",2010
95,"Booty Call",1997
96,"He Never Died",2015
97,"Knock Knock",2015
